Date,Number_of_Insects,New_Catches,Mean_Temperature,Temperature_Low,Temperature_High,Mean_Humidity
2024-07-05,0.0,0.0,25.77777777777778,24.77777777777778,26.677777777777777,56.67444444444445
2024-07-06,0.0,0.0,22.3425,21.53333333333333,23.120833333333334,72.2475
2024-07-07,0.0,0.0,23.517916666666665,22.90833333333333,24.133333333333336,76.72875
2024-07-08,0.0,0.0,25.669166666666666,24.691666666666666,26.5625,69.14375
2024-07-09,0.0,0.0,25.87,24.854166666666668,26.829166666666666,53.647083333333335
2024-07-10,0.0,0.0,26.41,25.416666666666668,27.333333333333332,58.94375
2024-07-11,0.0,0.0,26.21553191489362,25.206382978723404,27.15531914893617,55.20617021276596
2024-07-12,0.0,0.0,26.36375,25.416666666666668,27.289583333333336,57.50958333333333
2024-07-13,0.0,0.0,25.699791666666666,24.714583333333334,26.683333333333334,68.38958333333333
2024-07-14,1.0,1.0,26.193749999999998,25.316666666666666,27.085416666666664,68.048125
2024-07-15,1.0,0.0,27.143541666666668,26.09583333333333,28.116666666666664,56.96375
2024-07-16,2.0,1.0,26.465416666666666,25.491666666666664,27.395833333333332,56.07458333333333
2024-07-17,1.0,1.0,27.547083333333333,26.474999999999998,28.597916666666666,55.395
2024-07-18,1.0,0.0,26.955833333333334,25.985416666666666,27.985416666666666,52.736875
2024-07-19,2.0,1.0,27.801875,26.839583333333334,28.68541666666667,54.52
2024-07-20,3.0,1.0,26.823541666666667,25.90416666666667,27.772916666666664,63.676874999999995
2024-07-21,3.0,1.0,26.83,25.881249999999998,27.758333333333336,66.85645833333334
2024-07-22,4.0,1.0,25.368958333333335,24.214583333333334,26.5125,71.59666666666666
2024-07-23,2.0,0.0,27.015833333333333,26.28333333333333,27.797916666666666,65.69020833333333
2024-07-24,1.0,1.0,27.998333333333335,26.914583333333336,29.120833333333334,62.036875
2024-07-25,2.0,2.0,28.505625,27.400000000000002,29.472916666666666,58.348333333333336
2024-07-26,2.0,0.0,27.716458333333335,26.835416666666664,28.618750000000002,65.430625
2024-07-27,2.0,0.0,27.50770833333333,26.566666666666666,28.412499999999998,63.42333333333334
2024-07-28,3.0,2.0,27.362291666666668,26.400000000000002,28.349999999999998,57.74583333333334
2024-07-29,0.0,0.0,28.636041666666667,27.691666666666666,29.599999999999998,51.788333333333334
2024-07-30,0.0,0.0,30.100512820512822,29.19871794871795,31.053846153846152,44.53102564102564
2024-07-31,0.0,0.0,29.2455,28.396666666666665,30.16166666666667,51.946000000000005
2024-08-01,0.0,0.0,29.922666666666665,29.0875,30.761666666666667,47.49933333333333
2024-08-02,0.0,0.0,27.786333333333335,26.935,28.63,67.367
2024-08-03,0.0,0.0,26.35325,25.521666666666665,27.31,72.64741666666667
2024-08-04,0.0,0.0,27.09279661016949,26.271186440677965,27.93983050847458,62.81745762711864
2024-08-05,0.0,0.0,27.870749999999997,27.104166666666668,28.703333333333333,55.672583333333336
2024-08-06,1.0,1.0,27.875166666666665,27.060833333333335,28.68166666666667,61.99033333333333
2024-08-07,1.0,0.0,27.173333333333336,26.246666666666666,28.090833333333332,64.28991666666667
2024-08-08,1.0,0.0,26.578333333333333,25.796666666666667,27.345833333333335,64.4645
2024-08-09,1.0,0.0,28.157916666666665,27.41,28.950833333333332,62.037
2024-08-10,0.0,0.0,29.597916666666666,28.7,30.466666666666665,54.10783333333333
2024-08-11,0.0,0.0,30.02275,29.20583333333333,30.85,54.30466666666667
2024-08-12,0.0,0.0,30.30725,29.508333333333333,31.074166666666667,51.39416666666667
2024-08-13,0.0,0.0,29.68933333333333,28.7875,30.589166666666664,51.04258333333333
2024-08-14,0.0,0.0,28.778333333333332,27.875,29.720000000000002,57.591750000000005
2024-08-15,0.0,0.0,26.580583333333333,25.82,27.329166666666666,63.980583333333335
2024-08-16,0.0,0.0,27.988166666666665,27.16,28.795,61.474666666666664
2024-08-17,1.0,1.0,27.046833333333332,25.94,28.033333333333335,64.88658333333333
2024-08-18,2.0,1.0,24.79866666666667,23.94,25.741666666666667,72.37766666666667
2024-08-19,0.0,0.0,22.200083333333335,21.621666666666666,22.855,80.52983333333333
2024-08-20,5.0,5.0,23.492,22.8825,24.26833333333333,81.96866666666666
2024-08-21,3.0,0.0,26.586916666666664,25.873333333333335,27.246666666666666,68.06408333333334
2024-08-22,6.0,3.0,26.247416666666666,25.53666666666667,27.000833333333333,69.19958333333334
2024-08-23,9.0,3.0,20.345,20.114285714285717,20.585714285714285,88.88428571428571
